code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
2209620004605	http://world-en.openfoodfacts.org/product/2209620004605/poulet-cuit-fume-au-bois-de-hetre-traite-en-salaison	Poulet cuit fumé au bois de hêtre traité en salaison	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209621005656	http://world-en.openfoodfacts.org/product/2209621005656/poulet-cuit-fume-au-bois-deux-etres-et-de-chaine	Poulet cuit fumé au bois deux êtres et de chaîne	NA	NA	NA	NA	4	c	NA	9.6000003814697	2.7999999523163	0.89999997615814	20	1	711	1.2999999523163	0.51999998092652	712.2000141143789	NA	m	m	l	m			
2209626005712	http://world-en.openfoodfacts.org/product/2209626005712/poulet-cuit-fume-au-bois-hetre-et-de-chene	Poulet cuit fumé au bois hêtre et de chêne	NA	NA	NA	en:green-dot	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2209625006321	http://world-en.openfoodfacts.org/product/2209625006321/poulet-cuit-fume-au-boos-de-hetre	Poulet cuit fumé au boos de hêtre	NA	NA	NA	en:organic,en:eu-organic,en:french-meat,en:french-poultry,fr:ab-agriculture-biologique	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	t	m	m	l	m			
2209628005451	http://world-en.openfoodfacts.org/product/2209628005451/poulet-cuit-fume-au-bous-de-hetre	Poulet cuit fumé au bous de hêtre	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2209625006833	http://world-en.openfoodfacts.org/product/2209625006833/poulet-cuit-fume-au-feu-de-hetre-et-de-chene	Poulet cuit fumé au feu de hêtre et de chêne	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
0276382057998	http://world-en.openfoodfacts.org/product/0276382057998/poulet-cuit-fume-avec-tarse	Poulet Cuit Fumé avec Tarse	NA	NA	NA	en:french-meat,en:french-poultry,en:green-dot	1	b	NA	7.4	2	0.5	22	0.6	657	1.1	0.44	658.0	f	m	m	l	m			
2209624004274	http://world-en.openfoodfacts.org/product/2209624004274/poulet-cuit-fume-avec-tarses	Poulet cuit fumé avec tarses	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2209626005187	http://world-en.openfoodfacts.org/product/2209626005187/poulet-cuit-fume-bois-de-hetre	Poulet cuit fumé bois de hêtre	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
0276382040600	http://world-en.openfoodfacts.org/product/0276382040600/poulet-cuit-fume-careffour	Poulet cuit fume careffour	NA	NA	NA	NA	1	b	NA	7.4	2	0.5	22	0.6	657	1.1	0.44	658.0	NA	m	m	l	m			
2860050039362	http://world-en.openfoodfacts.org/product/2860050039362/poulet-cuit-fumee	Poulet cuit fumee	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
2209620007569	http://world-en.openfoodfacts.org/product/2209620007569/poulet-cuit-fumee	Poulet cuit fumée	NA	NA	NA	en:nutriscore	11	d	NA	12	3.4	0.7	20	0.7	787	1.5	0.6	795.9	f	m	m	l	m			
2860050039102	http://world-en.openfoodfacts.org/product/2860050039102/poulet-cuit-fumee	Poulet cuit fumée	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
2209620004704	http://world-en.openfoodfacts.org/product/2209620004704/poulet-cuit-fumee-au-bois-de-hetre	Poulet cuit fumée au bois de hêtre	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209620006739	http://world-en.openfoodfacts.org/product/2209620006739/poulet-cuit-fumee-au-bois-de-hetre	Poulet cuit fumée au bois de hêtre	NA	NA	NA	en:nutriscore	1	b	NA	6.1	1.7	0.1	23.1	0.2	628	1	0.4	621.8	f	m	m	l	m			
